,sampleid,sequencing type
510,C0053-8E-1A_amp,amplicon
511,C0053-8E-1A_amp,amplicon
512,C0053-8E-1A_amp,amplicon
513,C0053-8E-1A_amp,amplicon
514,C0053-8E-1A_amp,amplicon
515,C0053-8E-1A_amp,amplicon
516,C0053-8E-1A_amp,amplicon
517,C0053-8E-1A_amp,amplicon
518,C0053-8E-1A_amp,amplicon
519,C0053-8E-1A_amp,amplicon
520,C0053-8E-1A_amp,amplicon
521,C0053-8E-1A_amp,amplicon
522,C0053-8E-1A_amp,amplicon
523,C0053-8E-1A_amp,amplicon
524,C0053-8E-1A_amp,amplicon
525,C0053-8E-1A_amp,amplicon
526,C0053-8E-1A_amp,amplicon
527,C0053-8E-1A_amp,amplicon
528,C0053-8E-1A_amp,amplicon
529,C0053-8E-1A_amp,amplicon
530,C0053-8E-1A_amp,amplicon
531,C0053-8E-1A_amp,amplicon
532,C0053-8E-1A_amp,amplicon
533,C0053-8E-1A_amp,amplicon
534,C0053-8E-1A_amp,amplicon
535,C0053-8E-1A_amp,amplicon
536,C0053-8E-1A_amp,amplicon
537,C0053-8E-1A_amp,amplicon
538,C0053-8E-1A_amp,amplicon
539,C0053-8E-1A_amp,amplicon
540,C0053-8E-1A_amp,amplicon
541,C0053-8E-1A_amp,amplicon
542,C0053-8E-1A_amp,amplicon
543,C0053-8E-1A_amp,amplicon
544,C0053-8E-1A_amp,amplicon
545,C0053-8E-1A_amp,amplicon
546,C0053-8E-1A_amp,amplicon
547,C0053-8E-1A_amp,amplicon
548,C0053-8E-1A_amp,amplicon
549,C0053-8E-1A_amp,amplicon
550,C0053-8E-1A_amp,amplicon
551,C0053-8E-1A_amp,amplicon
552,C0053-8E-1A_amp,amplicon
553,C0053-8E-1A_amp,amplicon
554,C0053-8E-1A_amp,amplicon
555,C0053-8E-1A_amp,amplicon
556,C0053-8E-1A_amp,amplicon
557,C0053-8E-1A_amp,amplicon
558,C0053-8E-1A_amp,amplicon
559,C0053-8E-1A_amp,amplicon
560,C0053-8E-1A_amp,amplicon
561,C0053-8E-1A_amp,amplicon
562,C0053-8E-1A_amp,amplicon
563,C0053-8E-1A_amp,amplicon
564,C0053-8E-1A_amp,amplicon
565,C0053-8E-1A_amp,amplicon
566,C0053-8E-1A_amp,amplicon
567,C0053-8E-1A_amp,amplicon
568,C0053-8E-1A_amp,amplicon
569,C0053-8E-1A_amp,amplicon
570,C0053-8E-1A_amp,amplicon
571,C0053-8E-1A_amp,amplicon
572,C0053-8E-1A_amp,amplicon
573,C0053-8E-1A_amp,amplicon
574,C0053-8E-1A_amp,amplicon
575,C0053-8E-1A_amp,amplicon
576,C0053-8E-1A_amp,amplicon
577,C0053-8E-1A_amp,amplicon
578,C0053-8E-1A_amp,amplicon
579,C0053-8E-1A_amp,amplicon
580,C0053-8E-1A_amp,amplicon
581,C0053-8E-1A_amp,amplicon
582,C0053-8E-1A_amp,amplicon
583,C0053-8E-1A_amp,amplicon
584,C0053-8E-1A_amp,amplicon
585,C0053-8E-1A_amp,amplicon
586,C0053-8E-1A_amp,amplicon
587,C0053-8E-1A_amp,amplicon
588,C0053-8E-1A_amp,amplicon
589,C0053-8E-1A_amp,amplicon
590,C0053-8E-1A_amp,amplicon
591,C0053-8E-1A_amp,amplicon
592,C0053-8E-1A_amp,amplicon
593,C0053-8E-1A_amp,amplicon
594,C0053-8E-1A_amp,amplicon
595,C0053-8E-1A_amp,amplicon
596,C0053-8E-1A_amp,amplicon
597,C0053-8E-1A_amp,amplicon
598,C0053-8E-1A_amp,amplicon
599,C0053-8E-1A_amp,amplicon
600,C0053-8E-1A_amp,amplicon
601,C0053-8E-1A_amp,amplicon
602,C0053-8E-1A_amp,amplicon
603,C0053-8E-1A_amp,amplicon
604,C0053-8E-1A_amp,amplicon
605,C0053-8E-1A_amp,amplicon
606,C0053-8E-1A_amp,amplicon
607,C0053-8E-1A_amp,amplicon
608,C0053-8E-1A_amp,amplicon
609,C0053-8E-1A_amp,amplicon
610,C0053-8E-1A_amp,amplicon
611,C0053-8E-1A_amp,amplicon
612,C0053-8E-1A_amp,amplicon
613,C0053-8E-1A_amp,amplicon
614,C0053-8E-1A_amp,amplicon
615,C0053-8E-1A_amp,amplicon
616,C0053-8E-1A_amp,amplicon
617,C0053-8E-1A_amp,amplicon
618,C0053-8E-1A_amp,amplicon
619,C0053-8E-1A_amp,amplicon
620,C0053-8E-1A_amp,amplicon
621,C0053-8E-1A_amp,amplicon
622,C0053-8E-1A_amp,amplicon
623,C0053-8E-1A_amp,amplicon
624,C0053-8E-1A_amp,amplicon
625,C0053-8E-1A_amp,amplicon
626,C0053-8E-1A_amp,amplicon
627,C0053-8E-1A_amp,amplicon
628,C0053-8E-1A_amp,amplicon
629,C0053-8E-1A_amp,amplicon
630,C0053-8E-1A_amp,amplicon
631,C0053-8E-1A_amp,amplicon
632,C0053-8E-1A_amp,amplicon
633,C0053-8E-1A_amp,amplicon
634,C0053-8E-1A_amp,amplicon
635,C0053-8E-1A_amp,amplicon
636,C0053-8E-1A_amp,amplicon
637,C0053-8E-1A_amp,amplicon
638,C0053-8E-1A_amp,amplicon
639,C0053-8E-1A_amp,amplicon
640,C0053-8E-1A_amp,amplicon
641,C0053-8E-1A_amp,amplicon
642,C0053-8E-1A_amp,amplicon
643,C0053-8E-1A_amp,amplicon
644,C0053-8E-1A_amp,amplicon
645,C0053-8E-1A_amp,amplicon
646,C0053-8E-1A_amp,amplicon
647,C0053-8E-1A_amp,amplicon
648,C0053-8E-1A_amp,amplicon
649,C0053-8E-1A_amp,amplicon
650,C0053-8E-1A_amp,amplicon
651,C0053-8E-1A_amp,amplicon
652,C0053-8E-1A_amp,amplicon
653,C0053-8E-1A_amp,amplicon
654,C0053-8E-1A_amp,amplicon
655,C0053-8E-1A_amp,amplicon
656,C0053-8E-1A_amp,amplicon
657,C0053-8E-1A_amp,amplicon
658,C0053-8E-1A_amp,amplicon
659,C0053-8E-1A_amp,amplicon
660,C0053-8E-1A_amp,amplicon
661,C0053-8E-1A_amp,amplicon
662,C0053-8E-1A_amp,amplicon
663,C0053-8E-1A_amp,amplicon
664,C0053-8E-1A_amp,amplicon
665,C0053-8E-1A_amp,amplicon
666,C0053-8E-1A_amp,amplicon
667,C0053-8E-1A_amp,amplicon
668,C0053-8E-1A_amp,amplicon
669,C0053-8E-1A_amp,amplicon
670,C0053-8E-1A_amp,amplicon
671,C0053-8E-1A_amp,amplicon
672,C0053-8E-1A_amp,amplicon
673,C0053-8E-1A_amp,amplicon
674,C0053-8E-1A_amp,amplicon
675,C0053-8E-1A_amp,amplicon
676,C0053-8E-1A_amp,amplicon
677,C0053-8E-1A_amp,amplicon
678,C0053-8E-1A_amp,amplicon
679,C0053-8E-1A_amp,amplicon
680,C0053-8E-1A_amp,amplicon
681,C0053-8E-1A_amp,amplicon
682,C0053-8E-1A_amp,amplicon
